Product Name,Price
Nutraj Cashew Nuts W450 (400g X 2),"₹204 (₹102/100 g)
₹315"
"Happilo 100% Natural Premium Whole Cashews, 200g","₹251 (₹125.50/100 g)
₹285"
"Molsi’s Royal Crunch Cashews, 200 Grams","₹499 (₹99.80/100 g)
₹800"
"Happilo 100% Natural Premium Whole Cashews, 200g (Pack of 2)","₹204 (₹102/100 g)
₹315"
Upcrop Premium W320 Cashew 500 grams,"₹204 (₹102/100 g)
₹315"
"Happilo 100% Natural Premium Whole Cashews, 200g","₹960 (₹96/100 g)
₹1,620"
Nutraj Cashew Nuts W450 (400g X 2),"₹1,149 (₹114.90/100 g)
₹1,600"
"Happilo 100% Natural Premium Whole Cashews, 200g","₹235 (₹117.50/100 g)
₹280"
"Shara's Dry Fruits W320 Cashewnuts I Cashews I Kaju, 1kg","₹500 (₹100/100 g)
₹775"
TOUCHSTONE - our motto is TOUCHSTONE Premium Whole Cashew Nuts W240-1KG (1000g),₹500 (₹100/100 g)
,"₹568 (₹113.60/100 g)
₹700"
"Amazon Brand - Vedaka Whole Cashews, 200g","₹999 (₹99.90/100 g)
₹1,198"
"Happilo 100% Natural Premium Whole Cashews Value Pack Pouch, 500 g","₹569 (₹113.80/100 g)
₹700"
"Happilo 100% Natural Premium Whole Cashews 500g, Value Pack","₹335 (₹335/count)
₹435"
"Amazon Brand - Vedaka Popular Whole Cashews, 500g","₹160 (₹160/100 g)
₹195"
Stylo Premium Broken 4-Piece Cashew Nuts Spit Cashews 1kg,"₹499 (₹99.80/100 g)
₹660"
FarmOwn Whole Cashew Nut W320 Regular Size Cashews Kaju 1Kg,"₹496 (₹124/100 g)
₹670"
"Amazon Brand - Vedaka Whole Cashews, (500g)","₹949 (₹94.90/100 g)
₹1,625"
"Amazon Brand - Solimo Premium Cashews, 250g","₹999 (₹99.90/100 g)
₹1,198"
"Pro Nature 100% Organic Cashew Nuts, 100g","₹240 (₹96/100 g)
₹400"
"Fresh Nut House Premium Whole Kerala Origin Plain Cashew Nut, 500 Grams","₹850 (₹85/100 g)
₹1,400"
"Happilo 100% Natural Premium Whole Cashews, 200g (Pack of 2)","₹214 (₹107/100 g)
₹240"
WONDERLAND FOODS (DEVICE) Raw Cashew W320 Premium White (400g x 2) (800),"₹558 (₹111.60/100 g)
₹699"
"Molsi's Royal Crunch Cashews, 1kg (200g x 5)","₹360 (₹72/100 g)
₹460"
FarmOwn Whole Cashew Nut W320 Regular Size Cashews Kaju 1Kg,"₹499 (₹99.80/100 g)
₹600"
Rivazo 100% Natural Fresh Whole Organic Cashew Nuts Kaju in Pet Jar 250 Grams,"₹356
25 (₹178.13/100 g)
₹375"
Rivazo 100% Natural Fresh Organic Whole Cashew Nuts Kaju 1 Kg,"₹251 (₹125.50/100 g)
₹285"
Evergreen Farms Natural Organic Cashew Kaju Wholes with Natural Taste in Pet Jar 1 Kg,"₹650 (₹65/100 g)
₹2,000"
"Spicy Carte Premium Cashews, 500gm","₹639 (₹127.80/100 g)
₹999"
"Amazon Brand - Vedaka Popular Cashews - Broken, 200g","₹625 (₹62,500/100 g)
₹699"
Nutraj Special Cashew Nuts W320 500g,"₹620 (₹62.63/100 g)
₹790"
Stylo Premium Broken 4-Piece Cashew Nuts Spit Cashews 500g,"₹600 (₹120/100 g)
₹630"
nutndiet Fresh Crunchy Cashews Economy (Super Small) Wholes (500g),"₹505 (₹101/100 g)
₹600"
"Cornitos Roasted Cashew, Crack Pepper, 200g","₹854 (₹85.40/100 g)
₹902"
"Molsi’s Royal Crunch Cashews, 200 Grams","₹500 (₹100/100 g)
₹699"
"Ancy Foods 100% Natural Cashews Kernels Piece Split Nut, Big Size, High Quality (Kaju 2 Tukda) Dry Fruit,1kg",₹200 (₹200/100 g)
"Fresh Nut House Dry Roasted Lightly Salted Cashew Nut, 500 Grams","₹889 (₹88.90/100 g)
₹1,690"
Organic Nuts® Cashews Nuts Broken 2 - 3 Pieces (White & Fresh) [Vacuum Pack] - 900g,"₹129 (₹129/100 g)
₹140"
Stylo Broken Kashews (500 GMS) Cashews raw Plain 4 Pieces Splits Nut,"₹875 (₹87.50/100 g)
₹950"
Kalyan Gems Broken Cashew Nuts 1kg 4-Pieces Splits kaju,"₹325 (₹162.50/100 g)
₹385"
ZANTYE Goa Cashews (W240) 500gms,"₹109 (₹109/100 g)
₹120"
"DiSano Whole Cashew Nuts (Kaju), 200g","₹319 (₹159.50/100 g)
₹350"
Azra Cashews W240 Premium Quality Cashews 500gms,"₹287 (₹1.15/Item)
₹400"
"Miltop Cashew W320, 1kg","₹699 (₹699/count)
₹1,398"
"Anandhiya For Caterers - Plain Cashew Nut / Kaju Whole Kernels [Average Grade, Commercial Quality] for Caterers, Restaurants, Sweet Makers - Crispy, Crunchy, Off-White [1Kg Pack]","₹1,219 (₹121.90/100 g)
₹1,700"
FreshoGen Cashew Nut W320 Premium Whole Kaju - 500 Grams,"₹284 (₹142/100 g)
₹360"
Bague Cashews Special Natural Raw Organic Cashew Nuts Kaju (500 g),"₹356
25 (₹178.13/100 g)
₹375"
"24 Mantra Organic Cashew Whole, 100g","₹372 (₹265.71/100 g)
₹392"
BAGUE W320 Natural Raw Whole Cashew Nuts (1 Kg/1000 g),"₹129 (₹129/100 g)
₹280"
Nutraj Cashew Nuts W450 400g,"₹356 (₹89/100 g)
₹749"
Cashew Nut W450 (800g) Benin Quality | Borma Dried | Snow White Directly From Processing Plant,"₹630 (₹78.75/100 g)
₹1,528"
Evergreen Farms Fresh Whole Cashews Kaju 500 Grams,"₹427 (₹85.40/100 g)
₹800"
Evergreen Farms Fresh Roasted Light Brown Whole Cashews Cashew Nut (Kaju) in Pet Jar 1 Kg,"₹860 (₹86/100 g)
₹1,450"
"Happilo Premium Toasted and Salted Cashews, 200g","₹350 (₹70/100 g)
₹480"
Nutraj Special Cashew Nuts W320 - 1Kg (2 X 500g),"₹699 (₹69.90/100 g)
₹900"
"SFT Cashews Kernels 4 Piece Broken, (Kaju 4 Tukda) Pure Mangalore [Grade- 4 Piece�Broken] 900 Gm","₹399 (₹199.50/100 g)
₹435"
Evergreen Farms Natural Organic Cashew Kaju Wholes with Natural Taste in Pet Jar 1 Kg,"₹315 (₹126/100 g)
₹500"
"Bague Broken 4-Piece Cashew Nuts Split Cashews (Kaju 4 Tukda), 500g","₹255 (₹102/100 g)
₹500"
Go Vegan Cashews Nuts Broken 4 Pieces Kaju Tukadi - 1KG,"₹1,119 (₹111.90/100 g)
₹1,500"
"Organic Box Cashew Nuts / Kaju Whole Kernels Plain [Average Grade, Commercial Quality] for Caterers, Restaurants, Sweet Makers - Crispy, Crunchy, Off-White (900 Gram)","₹558 (₹111.60/100 g)
₹699"
"Nutty Gritties Southern Pepper Cashew Nuts, Dry Roasted, Non Fried, Zero Oil, 200g","₹235 (₹117.50/100 g)
₹280"
"NUTS ABOUT YOU Cashews Roasted & Salted Pouch, 250 g","₹1,199 (₹1,199/count)
₹1,480"
TOUCHSTONE - our motto is TOUCHSTONE Premium Whole Cashew Nuts W240-1KG (1000g),"₹1,009 (₹100.90/100 g)
₹1,400"
"Happilo Premium Toasted and Salted Cashews, 200g (Pack of 2)","₹255 (₹127.50/100 g)
₹749"
"EXOTES Cashew Vacuum Packed Pouch, 250 g Pack of (1x250grams)","₹824 (₹82.40/100 g)
₹1,099"
"Bola Cashew Nuts with Skin (Natural Wholes with skin), 500 Grams",₹399 (₹199.50/100 g)
"GreenFinity® 500g Dry Fruits Combo Pack of Premium Almond, 250g & Cashew Nuts, 250g.","₹349 (₹349/count)
₹400"
Touchstone W270-1KG Premium Whole Cashew Nuts W270-1000g (1000 Grams),"₹525 (₹105/100 g)
₹800"
"Ziofit Indian Whole Cashewnuts, 200g (Buy 1 Get 1 Free)","₹446 (₹178.40/100 g)
₹495"
Nutraj Special Cashew Nuts W320 500g,"₹499 (₹124.75/100 g)
₹699"
"Amazon Brand - Vedaka Whole Cashews, 200g","₹1,099 (₹109.90/100 g)
₹1,500"
FarmOwn W240 Large Size Cashews Whole Cashew Nut 1 Kg,"₹1,122 (₹112.20/100 g)
₹1,600"
"WONDERLAND FOODS (DEVICE) Plain Raw Cashews Nuts - 1 Kg, W400, 400 Pieces in a Pound","₹990 (₹99/100 g)
₹2,100"
"SFT Cashew Kernels Nuts Gold , Pure mangalore (Kaju Sabut , Whole Cashews) [Grade - W 320 No.] 200 Gm","₹359 (₹359/count)
₹449"
"Ziofit Indian Whole Cashewnuts, 500g (Buy 1 Get 1 Free)","₹850 (₹85/100 g)
₹1,400"
"TOUCHSTONE - our motto is TOUCHSTONE Half Broken Cashew Nuts (Half Kernels, 500g)","₹860 (₹430/count)
₹890"
"SFT Cashews Kernels 2 Piece Split Nut, Big Size, Pure Mangalore (Kaju 2 Tukda) [Grade- 2 Piece] 400 Gm","₹357 (₹79.33/100 g)
₹699"
Delight Nuts Cashews Roasted & Salted- 200gm,"₹416 (₹166.40/100 g)
₹499"
FarmOwn W240 Large Size Cashews Whole Cashew Nut 1 Kg,"₹449 (₹224.50/count)
₹750"
"Bague 100% Natural Cashews Kernels 2 Piece Split Nut, 900g Big Size, (Kaju 2 Tukda) Dry Fruit,","₹621 (₹124.20/100 g)
₹876"
Royal Dry Fruits Plain Whole Premium Cashews 500gm,"₹530 (₹106/100 g)
₹630"
"NatureVit Roasted Cashew Nuts, 250g [Salted]","₹215 (₹107.50/100 g)
₹240"
Nutraj Cashew Nuts W320 250g,"₹313 (₹125.20/100 g)
₹529"
WONDERLAND FOODS (DEVICE) Raw Cashew W320 Premium White (400g x 2) (800),"₹355 (₹88.75/100 g)
₹780"
Cashew Nut W450 (400g) Benin Quality | Borma Dried | Snow White Directly From Processing Plant,"₹845 (₹422.50/100 g)
₹1,000"
Tulsi Whole Cashews Premium Combo 800g (200g x 4),"₹1,009 (₹100.90/100 g)
₹1,400"
RawFruit by HyperFoods Whole Cashew Popular & Premium Plain Raw Cashewnut Kaju Dry Fruit 750gm PET Jar Mangalore W240 (250 Grams Jar X 3 Units),"₹849 (₹84.90/100 g)
₹1,249"
"WONDERLAND FOODS (DEVICE) Plain Raw Cashews Nuts - 1 Kg, W400, 400 Pieces in a Pound","₹670 (₹19/Oz)
₹999"
"WONDERLAND FOODS (DEVICE) Premium Dry Fruits Combo Pack of (500g Cashew + 500g Raisin, 1Kg in Jar)","₹699 (₹139.80/100 g)
₹900"
"ZEONELY MART Cashews Nuts Broken 4-Piece Cashew Nuts Spit Cashews (Kaju 4 Tukda), 1kg","₹416 (₹166.40/100 g)
₹499"
"BOLA Jumbo Sized Cashew Nuts, 500 Grams (W180)","₹1,050 (₹105/100 g)
₹1,600"
Ariga Foods Cashew Nuts Cheese & Herbs Flavoured Healthy & Nutritious Supersnack 100Gm Pack of 1,"₹390 (₹156/100 g)
₹450"
Ariga Foods Cashew Nuts Himalayan Pink Salted Flavoured Premium Healthy & Nutritious Supersnack 100Gm Pack of 1,"₹416 (₹166.40/100 g)
₹499"
Ariga Foods Cashew Nuts Himalayan Pink Salted Flavoured Premium Healthy & Nutritious Supersnack 250Gm Pack of 1,"₹209 (₹99.52/100 g)
₹349"
Nutraj Signature Cashew Nuts Plain W240 - 3 x 200 gms,"₹650 (₹65/100 g)
₹2,000"
Bague w270 Natural Processed Raw Cashew Nuts (1 Kg),"₹454
₹575"
Naturoz Whole Cashews 200g,"₹869 (₹86,900/100 g)
₹1,099"
Natureland Organics Cashew (Dry Fruits) 200 Gm - Premium Whole Cashew,"₹729 (₹607.50/100 g)
₹1,099"
"Bankatji Oven Roasted Cashew Nuts - Butter Chilly Masala, 250 Grams","₹1,055 (₹1,055/count)
₹1,450"
Ariga Foods Cashew Nuts Kaalimirch Flavoured Healthy & Nutritious Supersnack 250Gm Pack of 1,"₹900 (₹90.91/100 g)
₹1,250"
Mustin Premium Salted Cashews (210g),₹599 (₹33.96/Oz)
"Ancy Foods 100% Natural Cashews Kernels Piece Split Nut, (Kaju 2 Tukda) Dry Fruit,1kg","₹320 (₹128/100 g)
₹360"
Amazon Brand - Solimo Dry Fruits Combo Pack - Raisins & Cashew 250 gms each,"₹390 (₹156/100 g)
₹450"
RK's Mom's Touch 100% Natural Premium Scale Cashews / Kaju Nuts W420 [1000gms] [1kg],"₹839 (₹83.90/100 g)
₹1,600"
Pure Food-Cashews Nuts Broken 4 Pieces - Kaju Tukadi 1000gm,"₹475 (₹475/count)
₹525"
"Miltop Premium Big Size Cashew Nuts W240, 1 kg","₹799 (₹79.90/100 g)
₹1,500"
Bague Cashews Special Natural Raw Organic Cashew Nuts Kaju 1kg 1000 Grams,"₹379 (₹75.80/100 g)
₹550"
GREEN BEE Premium Whole Cashews - Crispy & Crunchy -Bigger Nuts - W240 -500gms,"₹463 (₹220.48/100 g)
₹515"
"GetKrrackin! Lemon Pepper Roasted Cashews, 280 GMS (20 GMS*14 Single Serve Packs)| Anytime Munching| Rich in Fibre & Protein|Perfect for Gifting","₹1,309 (₹130.90/100 g)
₹1,800"
"Chota Mota Premium Whole Cashew Nuts W320, 250g Resealable Pack","₹240 (₹120/100 g)
₹300"
"Bankatji Cashews Oven Roasted - Butter Masala, 250 Grams","₹1,200 (₹1,20,000/100 g)
₹2,000"
MFi Brand Madras Premium Cashew | Whole Big Raw Unroasted Export Quality Grade W | kaju (800g),"₹659 (₹131.80/100 g)
₹875"
nutndiet Fresh Crunchy Cashews Premium (100g),₹899 (₹179.80/100 g)
"Yummicious Foods Premium Whole Cashew Nuts, 1kg","₹660 (₹66.67/100 g)
₹1,400"
"Lagom Gourmet Roasted & Salted Indian Cashew Nuts (Kaju), 250g","₹385 (₹77/100 g)
₹500"
"Being Marwari Broken 4-Piece Cashew Nuts Spit Cashews (Kaju 4 Tukda), 1kg","₹1,055 (₹1,055/count)
₹1,450"
nutndiet Fresh Crunchy Cashews 8-Pieces (500g),"₹270 (₹54.11/100 g)
₹550"
VEDIC STOCKS Premium Oven Dry Salted Cashew Nuts Dry Fruits Value Pack 500 Grams (Pack of 1),"₹380 (₹380/count)
₹462"
"Hearty Bite Premium Roasted Snacks Combo of 2 (Cashew & Almond), (Sweet & Spicy) 210 grams","₹610 (₹122/100 g)
₹750"
BOLA Jumbo Sized Cashew W180 1Kg (2x500g),"₹480 (₹96/100 g)
₹600"
Stylo 100% Natural Premium Whole Cashew Nuts Cashew Kaju W320 100g 200g 400g 450g250 Grams 500g 1000g 1kg (200 Grams),"₹575 (₹143.75/100 g)
₹700"
stylo Broken Cashew Nuts Splits 4 Pieces tukda 2kg kaju Crispy Crunchy Fresh Stock,"₹360 (₹73.47/100 g)
₹650"
URBANS Cashew Nuts Premium Roasted & Salted Cashews in TIN – Grade W240 |Export Quality Cashew | Premium Grade Cashew Nuts - 200 Grams (TIN),"₹900 (₹90/100 g)
₹1,400"
TOUCHSTONE - our motto is TOUCHSTONE Whole Cashew Nuts -W210 (500 Gms),"₹660 (₹1.35/count)
₹750"
looms & weaves - Premium Salted and Roasted Cashew from Kerala - 500 gm,"₹349 (₹34,900/100 g)
₹499"
Stylo Cashews Nuts Broken 4 Pieces - 1kg | Kaju Tukadi (Kaju Tukda / Kaju Fada),"₹571 (₹114.20/100 g)
₹990"
HAJARA Enterprises Cashew Wholes 500 g,"₹753 (₹100.40/100 g)
₹940"
"Miltop Premium Big Size Cashew Nuts W240, 1 kg","₹599 (₹119.80/100 g)
₹699"
"Fruitri Propular Cashew Broken, Kaju (1)","₹689 (₹68,900/100 g)
₹1,499"
Wonderland Foods (Device) Plain Raw Cashews -1 Kg,"₹1,122 (₹112.20/100 g)
₹1,600"
nutndiet Fresh Crunchy Cashews Premium (100g),"₹139 (₹139/100 g)
₹210"
"SoftArt Dry Fruits Combo of Whole Kaju Nuts & 180 Grade Cashew Nut, W-180 Cashews (Kaju) (250g Each)","₹800 (₹160/100 g)
₹1,600"
Bague Whole Cashew Nuts 1kg W320 Grade,"₹890 (₹89.90/100 g)
₹990"
PUREHEART Nutreat Fiery Hot Cashews 340 gm | 100% Vegetarian | No Added Colors | No Preservatives,"₹449 (₹449/count)
₹499"
"SELTOS Natural Premium Large Size Whole Cashews W240, Kaju ,Cashew Nuts , Dry Fruits (500g in Reusable Strong Jar)","₹499 (₹99.80/100 g)
₹999"
GreenFinity® Cashews Nuts Broken 2 - 3 Pieces - 500g | Kaju Tukadi | Vacuumed Pack.,"₹399 (₹39,900/100 g)
₹599"
"Bola Quality Mangalorean Cashew Nuts, W240- 1 kg","₹1,085 (₹108.50/100 g)
₹1,800"
Haldiram's Nagpur Cashews Jar (200 g),₹280 (₹140/100 g)
"RK's Mom's Touch Dry Roasted Unsalted Cashew Nut, 500 Grams","₹564 (₹56,400/100 g)
₹999"
FarmOwn W180 Jumbo Size Cashews Whole Cashew Nut 500 Grams,"₹451 (₹451/count)
₹550"
"OOSH Cashew Kernels, 200 g","₹490 (₹490/count)
₹599"
NUTRONUTS Premium W240 Cashews 500g VACCUM Packed Hand Picked KAJUS,"₹630 (₹78.75/100 g)
₹1,528"
Cashew Nut W450 (800g) Benin Quality | Borma Dried | Snow White Directly From Processing Plant,"₹365 (₹0.17/Oz)
₹395"
Kalbavi Cashews Assorted 5 in 1Flavoured Cashew (250 g),"₹429 (₹107.25/100 g)
₹595"
Forest Fresh 100% Natural - Classic Whole Cashews (Kaju) - 400gm - Everyday Essential Superfood - Dry Fruits & Nuts - Rich in Protein & Iron - Preservative Free,"₹1,250
₹1,648"
CDC CASHEWS Premium Virgin Cashew Nuts 240 Grade| 500 Grams| Pack of 2,"₹571 (₹114.20/100 g)
₹990"
PESHWAI Premium Goa Cashew/ Kaju 500g,"₹869 (₹86,900/100 g)
₹1,199"
